co,name,date,pct,free,loc,rtg,btp,org
Artisan du Chocolat,Venezuela,2010,100,TRUE,U.K.,1.75, ,Venezuela
Bonnat,One Hundred,2006,100,TRUE,France,1.5, , 
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009,100,TRUE,Ecuador,1.5,Forastero (Arriba),Ecuador
C-Amaro,Ecuador,2013,100,TRUE,Italy,3.5, ,Ecuador
Claudio Corallo,Principe,2008,100,TRUE,Sao Tome,1,Forastero,Sao Tome & Principe
Coppeneur,Ecuador Puristique,2012,100,TRUE,Germany,1.5, ,Ecuador
Domori,"IL100, H. San Jose",2013,100,TRUE,Italy,3,Criollo,Venezuela
Habitual,one hundred,2014,100,TRUE,Canada,2, , 
Hotel Chocolat,"Island Growers, 2012, 120hr c.",2013,100,TRUE,U.K.,1.75,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),"Chanchamayo, Pichanadi, 2012, 60hr c.",2013,100,TRUE,U.K.,2.75, ,Peru
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012, 120hr c.",2013,100,TRUE,U.K.,2.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",2013,100,TRUE,U.K.,2.75, ,Dominican Republic
Ocho,Sang Yum Coop,2016,100,TRUE,New Zealand,2.75, ,Samoa
Pacari,Raw,2008,100,TRUE,Ecuador,2,Forastero (Arriba),Ecuador
Pralus,"Sambirano Valley, Le 100%",2008,100,TRUE,France,3,Criollo,Madagascar
S.A.I.D.,100 percent,2010,100,TRUE,Italy,1.5, , 
Sirene,"Somia Plantation, 2012",2015,100,TRUE,Canada,3,Trinitario,Madagascar
Sirene,"Camino Verde P., Balao, Guayas, 2012",2015,100,TRUE,Canada,3, ,Ecuador
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,100,TRUE,U.S.A.,2,Forastero (Arriba),Ecuador
Willie's Cacao,"Java, Indonesian Black",2013,100,TRUE,U.K.,2.25, ,Indonesia
Bisou,Belize,2015,86,FALSE,U.S.A.,3.25,Trinitario,Belize
Taza,Alto Beni,2011,87,FALSE,U.S.A.,3.25, ,Bolivia
Adi,Vanua Levu,2011,88,FALSE,Fiji,3.5,Trinitario,Fiji
Beschle (Felchlin),Maracaibo,2011,88,FALSE,Switzerland,3,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,2008,88,FALSE,Argentina,2.75,Forastero (Nacional),Ecuador
Dolfin (Belcolade),Africa,2008,88,FALSE,Belgium,3,Forastero,West Africa
Ocho,"PNG, Voodoo",2014,88,FALSE,New Zealand,3.25, ,Papua New Guinea
Soma,Crazy 88,2013,88,FALSE,Canada,4, ,"Guat., D.R., Peru, Mad., PNG"
Szanto Tibor,Baracoa,2015,88,FALSE,Hungary,3.25,Trinitario,Cuba
Willie's Cacao,Los Llanos,2014,88,FALSE,U.K.,3,Trinitario,Colombia
Marsatta,Dominican Republic,2013,89,FALSE,U.S.A.,2.5, ,Dominican Republic
Wilkie's Organic,Amazonas,2013,89,FALSE,Ireland,2.75,Criollo,Peru
Beehive,Ecuador,2016,90,FALSE,U.S.A.,2.75, ,Ecuador
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90,FALSE,U.S.A.,2.5, ,Peru
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",2013,90,FALSE,U.K.,3,Forastero (Nacional),Ecuador
Kto,Belize,2014,90,FALSE,U.S.A.,3.25,Trinitario,Belize
Videri,Dominican Republic,2014,90,FALSE,U.S.A.,3.25, ,Dominican Republic
Videri,Dark,2013,90,FALSE,U.S.A.,3.75, ,Central and S. America
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",2007,90,FALSE,U.S.A.,2,Forastero (Arriba),Ecuador
Zotter,El Ceibo Coop,2012,90,FALSE,Austria,3.25, ,Bolivia
Cacaoyere (Ecuatoriana),Pichincha,2008,91,FALSE,Ecuador,1.5,Forastero (Arriba),Ecuador
Guittard,Nocturne,2009,91,FALSE,U.S.A.,3, , 
Theo,"Venezuela; Barinos, Merida, Tachron",2007,91,FALSE,U.S.A.,2,Blend,Venezuela
Michel Cluizel,Noir Infini,2006,99,FALSE,France,2, , 
TCHO,Peru- Ecuador,2012,99,FALSE,U.S.A.,3.25, ,"Peru, Ecuador"
