,year_film,year_ceremony,ceremony,category,name,film,winner
0,1978,1979,51,ACTOR IN A LEADING ROLE,Warren Beatty,Heaven Can Wait,False
1,1978,1979,51,ACTOR IN A LEADING ROLE,Gary Busey,The Buddy Holly Story,False
2,1978,1979,51,ACTOR IN A LEADING ROLE,Robert De Niro,The Deer Hunter,False
3,1978,1979,51,ACTOR IN A LEADING ROLE,Laurence Olivier,The Boys from Brazil,False
4,1978,1979,51,ACTOR IN A LEADING ROLE,Jon Voight,Coming Home,True
5,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Bruce Dern,Coming Home,False
6,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Richard Farnsworth,Comes a Horseman,False
7,1978,1979,51,ACTOR IN A SUPPORTING ROLE,John Hurt,Midnight Express,False
8,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Christopher Walken,The Deer Hunter,True
9,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Jack Warden,Heaven Can Wait,False
10,1978,1979,51,ACTRESS IN A LEADING ROLE,Ingrid Bergman,Autumn Sonata,False
11,1978,1979,51,ACTRESS IN A LEADING ROLE,Ellen Burstyn,"Same Time, Next Year",False
12,1978,1979,51,ACTRESS IN A LEADING ROLE,Jill Clayburgh,An Unmarried Woman,False
13,1978,1979,51,ACTRESS IN A LEADING ROLE,Jane Fonda,Coming Home,True
14,1978,1979,51,ACTRESS IN A LEADING ROLE,Geraldine Page,Interiors,False
15,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Dyan Cannon,Heaven Can Wait,False
16,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Penelope Milford,Coming Home,False
17,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,California Suite,True
18,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,Interiors,False
19,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Meryl Streep,The Deer Hunter,False
20,1978,1979,51,ART DIRECTION,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson, Bruce Kay",The Brink's Job,False
21,1978,1979,51,ART DIRECTION,Art Direction:  Albert Brenner;  Set Decoration:  Marvin March,California Suite,False
22,1978,1979,51,ART DIRECTION,"Art Direction:  Paul Sylbert, Edwin O'Donovan;  Set Decoration:  George Gaines",Heaven Can Wait,True
23,1978,1979,51,ART DIRECTION,Art Direction:  Mel Bourne;  Set Decoration:  Daniel Robert,Interiors,False
24,1978,1979,51,ART DIRECTION,"Art Direction:  Tony Walton, Philip Rosenberg;  Set Decoration:  Edward Stewart, Robert Drumheller",The Wiz,False
25,1978,1979,51,CINEMATOGRAPHY,Nestor Almendros,Days of Heaven,True
26,1978,1979,51,CINEMATOGRAPHY,Vilmos Zsigmond,The Deer Hunter,False
27,1978,1979,51,CINEMATOGRAPHY,William A. Fraker,Heaven Can Wait,False
28,1978,1979,51,CINEMATOGRAPHY,Robert Surtees,"Same Time, Next Year",False
29,1978,1979,51,CINEMATOGRAPHY,Oswald Morris,The Wiz,False
30,1978,1979,51,COSTUME DESIGN,Renie Conley,Caravans,False
31,1978,1979,51,COSTUME DESIGN,Patricia Norris,Days of Heaven,False
32,1978,1979,51,COSTUME DESIGN,Anthony Powell,Death on the Nile,True
33,1978,1979,51,COSTUME DESIGN,Paul Zastupnevich,The Swarm,False
34,1978,1979,51,COSTUME DESIGN,Tony Walton,The Wiz,False
35,1978,1979,51,DIRECTING,Hal Ashby,Coming Home,False
36,1978,1979,51,DIRECTING,Michael Cimino,The Deer Hunter,True
37,1978,1979,51,DIRECTING,"Warren Beatty, Buck Henry",Heaven Can Wait,False
38,1978,1979,51,DIRECTING,Woody Allen,Interiors,False
39,1978,1979,51,DIRECTING,Alan Parker,Midnight Express,False
40,1978,1979,51,DOCUMENTARY (Feature),"Albert Lamorisse, Producer",The Lovers' Wind,False
41,1978,1979,51,DOCUMENTARY (Feature),"Alan Root, Producer",Mysterious Castles of Clay,False
42,1978,1979,51,DOCUMENTARY (Feature),"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers",Raoni,False
43,1978,1979,51,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",Scared Straight!,True
44,1978,1979,51,DOCUMENTARY (Feature),"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers",With Babies and Banners: Story of the Women's Emergency Brigade,False
45,1978,1979,51,DOCUMENTARY (Short Subject),"Jerry Aronson, Producer",The Divided Trail: A Native American Odyssey,False
46,1978,1979,51,DOCUMENTARY (Short Subject),"K.K. Kapil, Producer",An Encounter with Faces,False
47,1978,1979,51,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",The Flight of the Gossamer Condor,True
48,1978,1979,51,DOCUMENTARY (Short Subject),"August Cinquegrana, Producer",Goodnight Miss Ann,False
49,1978,1979,51,DOCUMENTARY (Short Subject),"J. Gary Mitchell, Producer",Squires of San Quentin,False
50,1978,1979,51,FILM EDITING,Robert E. Swink,The Boys from Brazil,False
51,1978,1979,51,FILM EDITING,Don Zimmerman,Coming Home,False
52,1978,1979,51,FILM EDITING,Peter Zinner,The Deer Hunter,True
53,1978,1979,51,FILM EDITING,Gerry Hambling,Midnight Express,False
54,1978,1979,51,FILM EDITING,Stuart Baird,Superman,False
55,1978,1979,51,FOREIGN LANGUAGE FILM,France,Get Out Your Handkerchiefs,True
56,1978,1979,51,FOREIGN LANGUAGE FILM,German Federal Republic,The Glass Cell,False
57,1978,1979,51,FOREIGN LANGUAGE FILM,Hungary,Hungarians,False
58,1978,1979,51,FOREIGN LANGUAGE FILM,Italy,Viva Italia!,False
59,1978,1979,51,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,White Bim Black Ear,False
60,1978,1979,51,MUSIC (Adaptation Score),Joe Renzetti,The Buddy Holly Story,True
61,1978,1979,51,MUSIC (Adaptation Score),Jerry Wexler,Pretty Baby,False
62,1978,1979,51,MUSIC (Adaptation Score),Quincy Jones,The Wiz,False
63,1978,1979,51,MUSIC (Original Score),Jerry Goldsmith,The Boys from Brazil,False
64,1978,1979,51,MUSIC (Original Score),Ennio Morricone,Days of Heaven,False
65,1978,1979,51,MUSIC (Original Score),Dave Grusin,Heaven Can Wait,False
66,1978,1979,51,MUSIC (Original Score),Giorgio Moroder,Midnight Express,True
67,1978,1979,51,MUSIC (Original Score),John Williams,Superman,False
68,1978,1979,51,MUSIC (Original Song),Music and Lyrics by John Farrar,Grease,False
69,1978,1979,51,MUSIC (Original Song),Music and Lyrics by Paul Jabara,Thank God It's Friday,True
70,1978,1979,51,MUSIC (Original Song),Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,"Same Time, Next Year",False
71,1978,1979,51,MUSIC (Original Song),Music by Charles Fox; Lyrics by Norman Gimbel,Foul Play,False
72,1978,1979,51,MUSIC (Original Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,The Magic of Lassie,False
73,1978,1979,51,BEST PICTURE,"Jerome Hellman, Producer",Coming Home,False
74,1978,1979,51,BEST PICTURE,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",The Deer Hunter,True
75,1978,1979,51,BEST PICTURE,"Warren Beatty, Producer",Heaven Can Wait,False
76,1978,1979,51,BEST PICTURE,"Alan Marshall and David Puttnam, Producers",Midnight Express,False
77,1978,1979,51,BEST PICTURE,"Paul Mazursky and Tony Ray, Producers",An Unmarried Woman,False
78,1978,1979,51,SHORT FILM (Animated),"Nico Crama, Producer",Oh My Darling,False
79,1978,1979,51,SHORT FILM (Animated),"Will Vinton, Producer",Rip Van Winkle,False
80,1978,1979,51,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers",Special Delivery,True
81,1978,1979,51,SHORT FILM (Live Action),"Jim Belcher and Fern Field, Producers",A Different Approach,False
82,1978,1979,51,SHORT FILM (Live Action),"Andrew Sugerman, Producer",Mandy's Grandmother,False
83,1978,1979,51,SHORT FILM (Live Action),"Seth Pinsker, Producer",Strange Fruit,False
84,1978,1979,51,SHORT FILM (Live Action),"Taylor Hackford, Producer",Teenage Father,True
85,1978,1979,51,SOUND,"Tex Rudloff, Joel Fein, Curly Thirlwell, Willie Burton",The Buddy Holly Story,False
86,1978,1979,51,SOUND,"John K. Wilkinson, Robert W. Glass, Jr., John T. Reitz, Barry Thomas",Days of Heaven,False
87,1978,1979,51,SOUND,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight",The Deer Hunter,True
88,1978,1979,51,SOUND,"Robert Knudson, Robert J. Glass, Don MacDougall, Jack Solomon",Hooper,False
89,1978,1979,51,SOUND,"Gordon K. McCallum, Graham Hartstone, Nicolas Le Messurier, Roy Charman",Superman,False
90,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),Walter Newman,Bloodbrothers,False
91,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),Neil Simon,California Suite,False
92,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),"Elaine May, Warren Beatty",Heaven Can Wait,False
93,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),Oliver Stone,Midnight Express,True
94,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),Bernard Slade,"Same Time, Next Year",False
95,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),Ingmar Bergman,Autumn Sonata,False
96,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones",Coming Home,True
97,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),"Story by Michael Cimino, Deric Washburn, Louis Garfinkle, Quinn K. Redeker;  Screenplay by Deric Washburn",The Deer Hunter,False
98,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),Woody Allen,Interiors,False
99,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),Paul Mazursky,An Unmarried Woman,False
