,timestamp,temp,rhum,prcp,wspd,pres,wdir,season
0,1684310400.0,12.9,73.0%,0.0,9.3,1029.2,330.0,Spring
1,1633590000.0,13.6,94.0%,0.0,9.3,1025.7,217.0,Autumn
2,1633694400.0,17.9,78.0%,0.0,5.5,1029.8,168.0,Autumn
3,1655416800.0,17.4,66.0%,0.0,9.3,1022.3,190.0,Spring
4,1639123200.0,4.2,86.0%,0.0,29.6,995.8,308.0,Autumn
5,1620655200.0,15.2,54.0%,0.0,,,,Spring
6,1619128800.0,3.7,77.0%,0.0,9.3,1029.1,82.0,Spring
7,1677394800.0,1.7,82.0%,0.0,13.0,1025.3,24.0,Winter
8,1679713200.0,7.3,80.0%,0.0,,,,Spring
9,1688382000.0,17.8,nan%,,29.6,1010.9,258.0,Summer
10,1688324400.0,15.7,57.0%,0.0,18.5,1011.3,258.0,Summer
11,1693044000.0,17.4,64.0%,0.0,14.8,1008.1,246.0,Summer
12,1659243600.0,17.6,nan%,,14.8,1016.1,244.0,Summer
13,1624741200.0,14.1,84.0%,0.0,,,,Summer
14,1676134800.0,8.5,83.0%,0.0,,,,Winter
15,1644861600.0,6.4,81.0%,0.0,20.4,1003.2,279.0,Winter
16,1650452400.0,14.9,48.0%,0.0,18.5,1015.9,67.0,Spring
17,1676541600.0,9.0,97.0%,0.7,,,,Winter
18,1683309600.0,14.2,78.0%,0.0,13.0,1014.3,205.0,Spring
19,1638378000.0,6.0,83.0%,0.1,18.5,1000.1,324.0,Autumn
20,1681995600.0,13.1,45.0%,0.0,,,,Spring
21,1661353200.0,26.3,nan%,,14.8,1015.7,200.0,Summer
22,1663264800.0,14.0,68.0%,0.0,,,,Summer
23,1633136400.0,8.1,nan%,,9.3,1010.7,191.0,Autumn
24,1625522400.0,14.1,93.0%,3.5,13.0,999.9,155.0,Summer
25,1653260400.0,12.8,73.0%,0.0,5.5,1007.6,214.0,Spring
26,1624478400.0,13.4,74.0%,0.0,7.4,1023.8,129.0,Summer
27,1624960800.0,16.0,80.0%,0.1,16.7,1015.0,15.0,Summer
28,1673290800.0,4.7,79.0%,0.0,22.2,1009.9,265.0,Winter
29,1679112000.0,8.7,93.0%,0.0,9.3,1005.0,164.0,Winter
30,1634274000.0,10.4,94.0%,0.0,,,,Autumn
31,1637884800.0,0.8,nan%,,9.3,1013.3,261.0,Autumn
32,1669888800.0,4.4,95.0%,0.0,,,,Autumn
33,1655218800.0,22.2,43.0%,0.0,13.0,1019.1,171.0,Spring
34,1681470000.0,9.0,73.0%,0.5,18.5,1003.0,141.0,Spring
35,1672354800.0,5.2,86.0%,0.0,14.8,1006.8,211.0,Winter
36,1670932800.0,-0.2,nan%,,9.3,1008.0,93.0,Autumn
37,1683529200.0,12.1,85.0%,0.0,13.0,1020.3,212.0,Spring
38,1620212400.0,10.4,nan%,,16.7,1009.7,285.0,Spring
39,1675749600.0,-0.4,96.0%,0.0,3.7,1039.3,104.0,Winter
40,1681945200.0,5.0,85.0%,0.0,16.7,1025.0,41.0,Spring
41,1619416800.0,4.6,72.0%,0.0,14.8,1024.4,43.0,Spring
42,1667628000.0,5.8,91.0%,0.0,11.1,1016.1,212.0,Autumn
43,1686614400.0,15.1,74.0%,0.0,,,,Spring
44,1691852400.0,20.4,nan%,,24.1,1012.9,230.0,Summer
45,1641808800.0,3.7,91.0%,0.0,5.5,1018.6,165.0,Winter
46,1637071200.0,9.6,82.0%,0.0,9.3,1021.5,227.0,Autumn
47,1655452800.0,23.8,49.0%,0.0,16.7,1019.9,207.0,Spring
48,1637794800.0,3.4,96.0%,0.0,5.5,1015.9,310.0,Autumn
49,1670180400.0,3.5,89.0%,0.0,14.8,1018.8,36.0,Autumn
50,1694941200.0,20.5,nan%,,20.4,1012.2,81.0,Summer
51,1678449600.0,2.7,87.0%,0.1,33.3,1000.7,344.0,Winter
52,1677056400.0,6.0,95.0%,0.3,11.1,1010.9,235.0,Winter
53,1674201600.0,0.1,92.0%,0.0,14.8,1017.1,289.0,Winter
54,1637848800.0,4.7,81.0%,0.0,18.5,1017.3,336.0,Autumn
55,1643306400.0,6.7,nan%,,,,,Winter
56,1619830800.0,2.6,93.0%,0.0,5.5,1015.9,17.0,Spring
57,1684152000.0,13.4,53.0%,0.0,24.1,1020.4,352.0,Spring
58,1688169600.0,16.7,91.0%,0.0,16.7,1005.0,247.0,Summer
59,1644904800.0,2.6,93.0%,0.0,14.8,1010.7,222.0,Winter
60,1622754000.0,15.4,79.0%,0.0,,,,Spring
61,1680940800.0,8.7,77.0%,0.0,5.5,1026.8,84.0,Spring
62,1689915600.0,11.9,82.0%,0.0,9.3,1013.8,318.0,Summer
63,1627520400.0,11.4,89.0%,0.0,,,,Summer
64,1652184000.0,17.5,62.0%,0.0,24.1,1014.8,248.0,Spring
65,1677409200.0,4.4,66.0%,0.0,18.5,1027.8,48.0,Winter
66,1647360000.0,12.6,64.0%,0.0,13.0,1019.4,152.0,Winter
67,1679436000.0,9.9,nan%,,24.1,1006.3,208.0,Winter
68,1618182000.0,0.1,86.0%,0.0,7.4,1026.1,265.0,Spring
69,1655805600.0,19.9,48.0%,0.0,5.5,1014.7,93.0,Summer
70,1697554800.0,13.0,65.0%,0.0,20.4,1012.4,81.0,Autumn
71,1697072400.0,14.0,nan%,,7.4,1011.6,303.0,Autumn
72,1671458400.0,11.6,91.0%,0.0,33.3,1006.1,202.0,Autumn
73,1634389200.0,14.3,75.0%,0.1,11.1,1019.5,197.0,Autumn
74,1623308400.0,17.4,80.0%,0.0,13.0,1021.2,246.0,Spring
75,1648872000.0,-1.1,93.0%,0.0,11.1,1021.5,342.0,Spring
76,1686639600.0,18.5,nan%,,14.8,1014.2,27.0,Spring
77,1629036000.0,20.8,60.0%,0.0,24.1,1011.3,252.0,Summer
78,1685300400.0,14.4,65.0%,0.0,18.5,1024.6,51.0,Spring
79,1633183200.0,13.5,96.0%,3.2,22.2,992.7,163.0,Autumn
80,1632805200.0,10.4,89.0%,0.0,,,,Autumn
81,1644937200.0,8.6,90.0%,0.5,24.1,1004.3,241.0,Winter
82,1671332400.0,-1.9,96.0%,0.0,11.1,1022.7,133.0,Autumn
83,1678381200.0,8.0,100.0%,0.1,,,,Winter
84,1689429600.0,19.1,57.0%,0.4,38.9,1000.5,224.0,Summer
85,1679418000.0,12.3,nan%,,24.1,1007.2,232.0,Winter
86,1634968800.0,4.7,nan%,,5.5,1025.4,212.0,Autumn
87,1669852800.0,4.0,100.0%,0.0,5.5,1029.4,355.0,Autumn
88,1653073200.0,13.3,77.0%,0.1,18.5,1018.4,244.0,Spring
