	timestamp	temp	rhum	prcp	wspd	pres	wdir	season
0	1618981200.0	6.4	90.0	0.0	7.4	1019.2	35.0	spring
1	1664172000.0	11.9						autumn
2	1666717200.0	14.2	84.0	0.0	11.1	1010.4	141.0	autumn
3	1674010800.0	-2.9	96.0	0.0	11.1	994.5	256.0	winter
4	1648227600.0	14.2	49.0	0.0				spring
5	1674820800.0	5.0	83.0	0.0	16.7	1030.7	18.0	winter
6	1636567200.0	11.6	96.0	0.0	7.4	1023.2	214.0	autumn
7	1691906400.0	15.7	88.0	0.0	14.8	1014.3	220.0	summer
8	1662202800.0	21.5	60.0	0.0	14.8	1008.9	197.0	summer
9	1688497200.0	13.6	93.0	1.4	9.3	1007.1	267.0	summer
10	1675029600.0	6.0	96.0	0.0	16.7	1022.5	250.0	winter
11	1654225200.0	11.0	82.0	0.0	5.4	1018.0	20.0	spring
12	1694822400.0	14.3	90.0	0.0	5.5	1012.7	59.0	summer
13	1639386000.0	9.9						autumn
14	1663182000.0	15.6			11.1	1008.3	335.0	summer
15	1678147200.0	4.3			13.0	1001.2	250.0	winter
16	1663027200.0	17.5	86.0	0.8	7.4	1011.3	350.0	summer
17	1693206000.0	13.3	84.0	0.0				summer
18	1655082000.0	14.0	63.0	0.0	16.6	1024.0	280.0	spring
19	1625043600.0	14.1	84.0	0.2	14.8	1017.1	339.0	summer
20	1683291600.0	15.9	71.0	0.2	16.7	1014.3	221.0	spring
21	1667703600.0	12.5	96.0	0.7				autumn
22	1637031600.0	5.4	99.0	0.0	5.5	1025.8	299.0	autumn
23	1640293200.0	8.2			14.8	1007.2	244.0	winter
24	1618542000.0	0.3			7.4	1032.0	30.0	spring
25	1654682400.0	19.0	60.0	0.1	24.1	1004.0	250.0	spring
26	1659438000.0	24.6			25.9	1015.0	243.0	summer
27	1636884000.0	9.6	96.0	0.0	14.8	1023.9	6.0	autumn
28	1646737200.0	6.1	68.0	0.0	20.4	1014.4	132.0	winter
29	1625324400.0	19.8			16.7	1010.9	209.0	summer
30	1631692800.0	15.5	86.0	0.0	13.0	1014.1	340.0	summer
31	1686585600.0	24.3	62.0	0.4	11.1	1014.3	115.0	spring
32	1690826400.0	17.6	73.0	0.0	18.5	1001.9	258.0	summer
33	1640512800.0	7.3	100.0	0.1				winter
34	1679810400.0	6.5			7.4	1000.7	43.0	spring
35	1670612400.0	-1.8	94.0	0.0	5.5	1009.0	297.0	autumn
36	1648548000.0	9.9	81.0	0.0	14.8	1012.6	64.0	spring
37	1621155600.0	12.6	75.0	1.9	14.8	998.9	217.0	spring
38	1657551600.0	29.8	32.0	0.0	13.0	1022.3	188.0	summer
39	1625126400.0	16.0	69.0	0.0	11.1	1018.2	346.0	summer
40	1655589600.0	12.8	87.0	0.5	22.2	1015.8	7.0	spring
41	1672804800.0	11.5	91.0	0.2	29.6	1013.1	234.0	winter
42	1626109200.0	17.6	84.0	0.3	9.3	1010.8	21.0	summer
43	1617602400.0	5.0	69.0	0.0	24.1	1016.0	325.0	spring
44	1667217600.0	15.3			16.7	1012.8	142.0	autumn
45	1664128800.0	12.0	65.0	0.0	9.3	1015.0	257.0	autumn
46	1661655600.0	12.4	91.0	0.0	9.3	1021.6	35.0	summer
47	1668106800.0	12.9	83.0	0.0				autumn
48	1619226000.0	4.5	86.0	0.0	11.1	1028.3	79.0	spring
49	1670209200.0	3.6			14.8	1020.5	25.0	autumn
50	1674662400.0	3.4	100.0	0.0	9.3	1030.0	236.0	winter
51	1676880000.0	7.8	88.0	0.0	20.4	1025.0	250.0	winter
52	1625137200.0	18.3	61.0	0.0	11.1	1018.0	324.0	summer
53	1680922800.0	3.2	95.0	0.0	3.7	1024.8	133.0	spring
54	1683594000.0	12.0	100.0	0.0	11.1	1012.8	206.0	spring
55	1676890800.0	10.1			24.1	1024.9	261.0	winter
56	1686423600.0	21.6	58.0	0.0	13.0	1014.0	84.0	spring
57	1669798800.0	5.5						autumn
58	1645016400.0	14.5			40.8	996.7	251.0	winter
59	1650873600.0	9.6	70.0	0.0	16.7	1015.4	21.0	spring
60	1672333200.0	6.7	76.0	0.0	22.2	1004.8	243.0	winter
