,timestamp,wspd_db,wdir_db,pres_db,rhum_db,prcp_db
0,1617339600,,,,84.0,0.0
1,1617343200,,,,81.0,0.0
2,1617390000,16.7,23.0,1031.2,,
3,1617426000,,,,83.0,0.0
4,1617440400,22.2,28.0,1032.8,,
5,1617444000,,,,68.0,0.0
6,1617451200,20.4,29.0,1032.4,,
7,1617454800,20.4,29.0,1032.2,,
8,1617462000,20.4,26.0,1032.0,64.0,0.0
9,1617472800,,,,72.0,0.0
10,1617480000,13.0,25.0,1031.9,,
11,1617487200,,,,85.0,0.0
12,1617512400,5.5,310.0,1029.6,,
13,1617523200,,,,71.0,0.0
14,1617526800,,,,66.0,0.0
15,1617555600,,,,59.0,0.0
16,1617566400,14.8,262.0,1019.0,78.0,0.0
17,1617591600,,,,80.0,0.0
18,1617606000,25.9,334.0,1016.5,,
19,1617609600,,,,58.0,0.0
20,1617624000,,,,40.0,0.0
21,1617627600,27.8,343.0,1019.2,38.0,0.0
22,1617649200,,,,55.0,0.0
23,1617656400,13.0,295.0,1021.7,,
24,1617735600,9.3,319.0,1021.2,,
25,1617742800,,,,69.0,0.0
26,1617753600,,,,74.0,0.0
27,1617778800,,,,72.0,0.0
28,1617786000,18.5,298.0,1023.6,60.0,0.0
29,1617818400,,,,59.0,0.0
30,1617829200,,,,73.0,0.0
31,1617876000,20.4,237.0,1022.1,,
32,1617883200,,,,63.0,0.0
33,1617894000,,,,62.0,0.0
34,1617915600,,,,82.0,0.0
35,1617919200,14.8,226.0,1017.0,,
36,1617940800,,,,93.0,0.0
37,1617944400,11.1,226.0,1013.8,,
38,1617962400,,,,64.0,0.0
39,1617973200,,,,60.0,0.0
40,1617980400,,,,63.0,0.1
41,1617984000,,,,68.0,0.3
42,1617991200,,,,81.0,0.0
43,1618002000,7.4,15.0,1013.0,,
44,1618012800,9.3,11.0,1013.6,,
45,1618016400,9.3,20.0,1013.6,,
46,1618052400,,,,78.0,0.0
47,1618056000,18.5,55.0,1013.1,,
48,1618077600,,,,77.0,0.0
49,1618081200,16.7,38.0,1013.9,,
50,1618084800,,,,80.0,0.0
51,1618102800,,,,91.0,0.0
52,1618106400,14.8,4.0,1015.6,,
53,1618117200,13.0,356.0,1017.0,,
54,1618124400,,,,80.0,0.0
55,1618200000,7.4,253.0,1026.8,,
56,1618203600,7.4,257.0,1027.2,,
57,1618221600,9.3,294.0,1028.4,,
58,1618232400,11.1,326.0,1029.0,,
59,1618239600,13.0,346.0,1029.4,47.0,0.0
60,1618254000,5.5,87.0,1031.2,,
61,1618257600,,,,67.0,0.0
62,1618261200,3.7,172.0,1032.1,,
63,1618264800,5.5,194.0,1032.4,,
64,1618268400,,,,82.0,0.0
65,1618282800,5.5,220.0,1032.7,,
66,1618304400,,,,54.0,0.0
67,1618322400,,,,46.0,0.0
68,1618329600,11.1,346.0,1031.9,,
69,1618333200,9.3,7.0,1032.0,,
70,1618372800,,,,84.0,0.0
