observation_id,Type,Date,Part of a standard enforcement protocol,Galactic X,Galactic Y,Reproduction,Age range,Self-defined species category,Officer-defined species category,Governing law,Object of inspection,Inspection involving more than just outerwear,Enforcement station,Inspection Outcome
8ca4b11e-2814-42ab-b8e9-bf467d6f9bc1,Entity inspection,2239-12-14 13:22:00+00:00,False,8.528522999999984,-1398.6777719999973,Asexual,Senior,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Vandalism Tools,,Galactic Hub X101-IO,False
93930d11-d5cc-46a0-91eb-96fea69eea2f,Entity and Spaceship search,2241-06-07 14:00:00+00:00,False,23.330735,-3826.2405400000002,Asexual,Adult,Zoltrax - Diverse Clans,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
b68b83bc-9eba-484b-9369-9707132592c8,Entity inspection,2241-09-17 15:30:00+00:00,,-128.358204,21050.745456,Sexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Helios Command C210-ZR,True
2bdea27c-2168-4884-9bda-68a862aea7e1,Entity and Spaceship search,2241-10-11 08:10:00+00:00,True,126.62374200000001,-20766.293688,Asexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Krypton Dock D175-WU,False
c8782f5f-1c50-4710-a129-d495a404c1c3,Entity and Spaceship search,2240-05-01 20:40:00+00:00,False,-23.57806199999998,3866.802167999997,Asexual,Young Adult,Zoltrax - Diverse Clans,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
a6d5992d-b46b-4165-9699-8574163f77df,Entity inspection,2241-05-05 03:20:00+00:00,False,-12.691498999999999,2081.405836,Asexual,Young Adult,Terran - Northern Cluster,Terran,,Thievery Equipment,,Sirius Patrol Unit J153-AX,False
aab3bcbb-c4c4-479d-8af4-35cc432c7e43,Entity inspection,2241-06-26 04:02:41+00:00,,-454.742336,74577.74310400001,Asexual,Adult,Terran - Northern Cluster,Terran,,Regulated Star Substances,False,Mercury Base R525-VN,False
cbda3d3f-f762-4e3e-9834-31eb84996c3d,Entity inspection,2240-04-23 12:30:00+00:00,False,-10.942842,1794.6260880000002,Sexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
a97ef16e-4a42-463f-a6e3-3f21a766cb19,Entity inspection,2241-06-05 18:02:01+00:00,,-495.528746,81266.714344,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Mercury Base R525-VN,False
5945f176-a4ef-4eb2-9484-59a62b973b28,Entity inspection,2240-11-25 00:55:00+00:00,False,,,Asexual,Young,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Thievery Equipment,,Southern Yorik Station F160-OK,False
50acdb51-dde9-4c4d-89fa-8190cc4875b4,Entity inspection,2240-11-26 22:58:07+00:00,,-503.600691,82590.513324,Asexual,Young,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Mercury Base R525-VN,True
cfd94463-ad2d-4e97-bc24-3c6ed91ecbd0,Entity inspection,2240-12-31 19:01:00+00:00,False,192.432096,-31558.863744000002,Asexual,Young,Xenar - Unspecified,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Eclipse Sector G262-TX,False
70b6e658-fd0f-4667-b3f2-c651caf4350b,Entity and Spaceship search,2241-04-01 19:40:00+00:00,False,-46.679339000000006,7655.411596000001,Asexual,Young Adult,Terran - Outer Colonies,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
1a619509-7bd4-451e-ae36-22c2a4270563,Entity inspection,2240-05-12 00:10:00+00:00,False,,,Asexual,Young,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Westeron Division B234-YZ,False
0918a319-245e-4913-a6bb-5e6cf0da0b77,Entity inspection,2241-11-08 20:01:00+00:00,False,184.558046,-30267.519544,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Eclipse Sector G262-TX,False
